timestamp	trial_no	location	cpu_%	ram_%	time_taken_sec	stt_latency_sec
10:11:45	1	kitchen	10.8	23.1	27.502	0.513
10:12:31	2	kitchen	13.4	24	27.501	0
10:13:28	3	kitchen	12	23.8	39	0
10:14:16	4	kitchen	12.7	23.5	29.5	0
10:15:08	5	kitchen	12.2	23.5	33.003	0
10:16:31	6	kitchen	12.1	23.4	65.502	0
10:17:54	7	kitchen	11.9	23.3	64.503	0
10:19:01	8	kitchen	12.1	23.4	48.001	0
10:19:49	9	kitchen	12.3	23.3	28.502	0
10:20:42	10	kitchen	11.9	23.3	35.004	0
10:22:35	11	kitchen	12.8	23.3	92.504	0
10:25:00	12	kitchen	11.7	23.3	126.504	0
10:25:57	13	kitchen	11.8	23.4	38.005	0
10:26:51	14	kitchen	11.9	24.4	34.002	0
10:27:49	15	kitchen	10.1	24	39.503	0
10:28:45	16	kitchen	9.4	24.6	37.503	0
10:29:38	17	kitchen	8.7	24.2	34.002	0
10:30:25	18	kitchen	9	23.8	29.004	0
10:31:13	19	kitchen	8.7	23.8	28.503	0
10:32:49	20	kitchen	9.3	23.7	78.002	0
10:34:16	21	kitchen	8.6	23.7	69.502	0
10:35:09	22	kitchen	8.9	23.7	35.002	0
10:36:09	23	kitchen	8.6	23.8	41.084	0
10:36:55	24	kitchen	8.9	23.7	28.001	0
10:38:20	25	kitchen	9.1	23.8	66.503	0
10:40:30	26	kitchen	9.3	24.7	110.503	0
10:41:21	27	kitchen	9.5	24.8	33.502	0
10:42:12	28	kitchen	9.5	24.6	31.5	0
10:45:09	29	kitchen	10.1	24.7	158.502	0
10:46:00	30	kitchen	12	24.7	32.003	0
10:46:59	31	kitchen	11.9	24.4	40.503	0
10:47:50	32	kitchen	10	24.4	32.001	0
10:48:39	33	kitchen	9.5	24.4	30.501	0
10:50:09	34	kitchen	9.9	24.3	72.004	0
10:51:01	35	kitchen	10.2	24.8	32.001	0
10:52:06	36	kitchen	12.1	24.8	46.593	0
10:53:13	37	kitchen	12.3	24.8	45.002	0
10:54:08	38	kitchen	11.8	25.5	35.035	0
10:55:19	39	kitchen	12.4	24.8	50.003	0
10:56:09	40	kitchen	11.6	24.8	32.003	0
12:29:04	41	kitchen	13.2	26.6	50.001	1.01
12:29:58	42	kitchen	14.1	26.6	36.012	0
12:31:08	43	kitchen	13.5	26.5	52.003	0
12:32:12	44	kitchen	13.2	26.5	44.503	0
12:33:15	45	kitchen	13.6	26.6	45.003	0
12:34:00	46	kitchen	13.1	26.6	25.503	0
12:34:47	47	kitchen	13.5	26.6	28.502	0
12:35:30	48	kitchen	13.7	26.5	25.501	0
12:36:26	49	kitchen	13.6	26.6	37.502	0
12:37:15	50	kitchen	13.2	26.6	30.003	0
